art_regulamento,codigo_ref_script,codigo_verif,rgbeac_ref_script,rgbeac_verif,legislacao_ref_script,erro
ART-01,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-02,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-03,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-04,Sem correspondência,(sem correspondência intencional),Sem correspondência,(sem correspondência intencional),Sem correspondência,NÃO
ART-05,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-06,Arts. 4.º e 5.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [4, 5, 214])","Art.º 7.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [7] encontrados,"n.ºs 1, 2, 3 e 4 do art.º 7.º do DL n.º 276/2001, de 17 de outubro",SIM
ART-07,Art.º 4 e 5.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [4, 5, 214])","art.º 7.º e 9 a 12.º do RGBEAC (proposta, jun. 2025)","OK: Arts. [7, 9, 12] encontrados","n.ºs 1, 2 e 3 do art.º 7.º do DL n.º 276/2001, de 17 de outubro",SIM
ART-08,Art.º 8.º do Código do Animal (DL n.º 214/2013)  -Reprodução e criação,"ERRO: Arts. [214] NÃO encontrados (procurados: [8, 214])","Art.º 70.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [70] encontrados,Não há correspondência,SIM
ART-09,Artigo 31.º - Procedimento para o exercício da atividade de exploração de alojamentos,OK: Arts. [31] encontrados,Artigo 60.º - Comunicação prévia com prazo,OK: Arts. [60] encontrados,Artigo 3.º,NÃO
ART-10,Artigo 37.º - Divulgação dos alojamentos,OK: Arts. [37] encontrados,Artigo 62.º - Divulgação dos alojamentos,OK: Arts. [62] encontrados,"Havia a Permissão Administrativa apenas no caso de criação/reprodução de cães PP, conforme art. 3.º-B",NÃO
ART-11,Art.º 57.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [57, 214])","Art.º 8.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [8] encontrados,Sem equivalência,SIM
ART-12,Art.º 19.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [19, 214])","Art.ºs 69.º, 84.º e 90.º do RGBEAC (proposta, jun. 2025)","OK: Arts. [69, 84, 90] encontrados","Art.º 13.º do DL n.º 276/2001, de 17 de outubro",SIM
ART-13,Art.º 32.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [32, 214])","Art.º 56.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [56] encontrados,"Art.º 4.º do DL n.º 276/2001, de 17 de outubro",SIM
ART-14,Art.º 46.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [46, 214])","Art. 51.º do RGBEAC (proposta, jun 2025)",OK: Arts. [51] encontrados,Artigo 12.º Decreto-Lei n.º 276/2001,SIM
ART-15,Artigo 13.º - Condições dos alojamentos,OK: Arts. [13] encontrados,"Artigos 47-57 - Regulação detalhada de alojamentos para hospedagem (estruturas, proteção, maneio, responsabilidades veterinárias).","OK: Arts. [47, 57] encontrados","Art.º 8.º, Art.º 9.º, Art.º 15.º do DL n.º 276/2001",NÃO
ART-16,Art.º 6.º (Cuidados médico-veterinários) do Código do Animal — DL n.º 214/2013,"ERRO: Arts. [214] NÃO encontrados (procurados: [6, 214])","Arts.º 33.º e 55.º do RGBEAC — Regime Geral do Bem-Estar dos Animais de Companhia (proposta, jun. 2025)","OK: Arts. [33, 55] encontrados","Art.º 13.º (Maneio) e art.º 16.º (Cuidados de saúde animal) do DL n.º 276/2001, de 17 de outubro",SIM
ART-17,Art.º 13.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [13, 214])","Arts. 47.º e 52.º (n.º 7) do RGBEAC (proposta, jun. 2025)","OK: Arts. [7, 47, 52] encontrados","art.º 8.º do DL n.º 276/2001, de 17 de outubro",SIM
ART-18,Arts. 51.º e 52.º do Código do Animal (DL 214/2013),"ERRO: Arts. [52, 214] NÃO encontrados (procurados: [51, 52, 214])","RGBEAC (proposta, jun. 2025) - Artigo 12.º",OK: Arts. [12] encontrados,Decreto-Lei n.º 276/2001 - Artigo 18.º,SIM
ART-19,Art.º 79.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [79, 214])","Art.º 39.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [39] encontrados,DL 314/2003 de 17 dezembro,SIM
ART-20,Art.º 53.º do Código do Animal (DL n.º 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [53, 214])","Art.º 17.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [17] encontrados,"DL n.º 82/2019, de 27 de junho",SIM
ART-21,Art.º 24.º e Art.º 62.º do Código do Animal (DL 214/2013),"ERRO: Arts. [24, 214] NÃO encontrados (procurados: [24, 62, 214])","Art.º 91 a 95.º + Art.º 115.º n.º 3 do RGBEAC (proposta, jun. 2025)","ERRO: Arts. [95] NÃO encontrados (procurados: [3, 91, 95, 115])","DL 276/2001, DL 82/2019 - Normas de comercialização",SIM
ART-22,Art. 7.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [7, 214])","Arts. 118.º, 119.º, 120.º, Secção I, do RGBEAC (proposta, jun. 2025)","OK: Arts. [118, 119, 120] encontrados","Decreto-Lei n.º 315/2009, de 29 de outubro,",SIM
ART-23,"Arts. 53.º, 55.º, 56.º, 57.º do Código do Animal (DL 214/2013)","ERRO: Arts. [214] NÃO encontrados (procurados: [53, 55, 56, 57, 214])","Art.º 20.º do RGBEAC (proposta, jun. 2025)",OK: Arts. [20] encontrados,"DL n.º 82/2019, Art.º 2.º (Estabelece SIAC)",SIM
ART-24,Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,(sem correspondência intencional),Análise no Anexo III,NÃO
ART-25,Art.º 55.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [55, 214])","Art.º 20.º, nn. 3, 6, 8 do RGBEAC (proposta, jun. 2025)","OK: Arts. [3, 6, 8, 20] encontrados","DL n.º 82/2019, Art.º 9.º",SIM
ART-26,Art.º 62.º do Código do Animal (DL 214/2013),"ERRO: Arts. [214] NÃO encontrados (procurados: [62, 214])","Art.º 114.º e Art.º 96.º do RGBEAC (proposta, jun. 2025)","OK: Arts. [96, 114] encontrados","DL n.º 82/2019, Art.º 2.º",SIM
ART-27,Sem equivalência.,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência.,NÃO
ART-28,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-29,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-30,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-31,Sem equivalência,(sem correspondência intencional),Sem equivalência,(sem correspondência intencional),Sem equivalência,NÃO
ART-32,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
ART-33,Não se aplica,(sem correspondência intencional),Não se aplica,(sem correspondência intencional),Não se aplica,NÃO
